ID;gender;leeftijd;talen;oefenvraag;Ewe_1_sound_A;Ewe_2_sound_A;Ewe_9_texture_A;Ewe_11_texture_A;Ewe_17_motion_A;Ewe_18_motion_A;Ewe_19_motion_A;Ewe_28_shape_A;Ewe_29_shape_A;Ewe_36_color_A;Ewe_37_color_A;Korean_1_sound_A;Korean_2_sound_A;Korean_3_sound_A;Korean_11_texture_A;Korean_12_texture_A;Korean_13_texture_A;Korean_20_motion_A;Korean_21_motion_A;Korean_30_shape_A; Korean_31_shape_A;Korean_38_color_A;Korean_39_color_A;Semai_25_sound_A;Semai_15_texture_A;Semai_12_motion_A;Semai_31_shape_A;Semai_2_color_A;Semai_26_sound_A;Semai_17_texture_A;Semai_14_motion_A;Semai_38_shape_A;Japanese_1_sound_A;Japanese_12_texture_A;Japanese_27_motion_A;Japanese_30_shape_A;Japanese_39_color_A;Japanese_2_sound_A;Japanese_13_texture_A;Japanese_25_motion_A;Japanese_31_shape_A;Japanese_40_color_A;Japanese_3_sound_A;Coll_gayagaya_sound_A;Coll_betabeta_texture_A;Coll_yurayura_motion_A;Coll_debudebu_shape_A;Coll_harahara_other_A;Coll_chikuchiku_other_A;Coll_ukiuki_other_A;Coll_yoroyoro_other_A;Coll_korokoro_motion_A;Siwu_1_sound_A;Siwu_11_texture_A;Siwu_13_motion_A;Siwu_23_shape_A;Siwu_28_color_A;Siwu_21_shape_A;Siwu_29_color_A;Siwu_24_shape_A;Ewe_3_sound_B;Ewe_10_texture_B;Ewe_20_motion_B;Ewe_30_shape_B;Ewe_38_color_B;Ewe_4_sound_B;"

Ewe_16_texture_B";Ewe_21_motion_B;Ewe_31_shape_B;Ewe_39_color_B;Ewe_22_motion_B;Korean_4_sound_B;Korean_14_texture_B;Korean_22_motion_B;Korean_32_shape_B;Korean_40_color_B;Korean_5_sound_B;Korean_15_texture_B;Korean_23_motion_B;Korean_33_shape_B;Korean_41_color_B;Korean_6_sound_B;Semai_24_sound_B;Semai_16_texture_B;Semai_11_motion_B;Semai_32_shape_B;Semai_5_color_B;Semai_29_sound_B;Semai_13_motio_B;Semai_37_shape_B;Semai_3_color_B;Japanese_4_sound_B;Japanese_14_texture_B;Japanese_26_motion_B;Japanese_32_shape_B;Japanese_41_color_B;Japanese_5_sound_B;Japanese_15_texture_B;Japanese_29_motion_B;Japanese_33_shape_B;Japanese_6_sound_B;Japanese_16_texture_B;Coll_gokugoku_B;Coll_fuwafuwa_B;Coll_buruburu_B;Coll_morimori_B;Coll_chirachira_B;Coll_dorodoro_B;Coll_kibikibi_B;Coll_furafura_B;Coll_tsuyatsuya_B;Coll_nikoniko_B;Siwu_2_sound_B;Siwu_6_texture_B;Siwu_12_motion_B;Siwu_18_shape_B;Siwu_30_color_B;Siwu_8_texture_B;Siwu_22_shape_B;Siwu_31_color_B;Ewe_5_sound_C;Ewe_12_texture_C;Ewe_23_motion_C;Ewe_32_shape_C;Ewe_40_color_C;Ewe_6_sound_C;Ewe_15_texture_C;Ewe_24_motion_C;Ewe_33_shape_C;Ewe_25_motion_C;Korean_7_sound_C;Korean_16_texture_C;Korean_24_motion_C;Korean_34_shape_C;Korean_42_color_C;Korean_8_sound_C;Korean_17_texture_C;Korean_25_motion_C;Korean_35_shape_C;Korean_43_color_C;Korean_26_motion_C;Semai_23_sound_C;Semai_18_texture_C;Semai_8_motion_C;Semai_33_shape_C;Semai_1_color_C;Semai_28_sound_C;Semai_20_texture_C;Semai_10_motion_C;Semai_36_shape_C;Semai_6_color_C;Japanese_7_sound_C;Japanese_17_texture_C;Japanese_28_motion_C;Japanese_34_shape_C;Japanese_42_color_C;Japanese_8_sound_C;Japanese_18_texture_C;Japanese_23_motion_C;Japanese_35_shape_C;Japanese_9_sound_C;Coll_hisohiso_C;Coll_gowagowa_C;Coll_sekaseka_C;Coll_zukezuke_C;Coll_kirakira_C;Coll_gochagocha_C;Coll_hetoheto_C;Coll_hokahoka_C;Coll_kachikachi_C;Coll_mojimoji_C;Siwu_3_sound_C;Siwu_9_texture_C;Siwu_14_motion_C;Siwu_20_shape_C;Siwu_32_color_C;Siwu_4_sound_C;Siwu_7_texture_C;Siwu_25_shape_C;Siwu_33_color_C;Ewe_7_sound_D;Ewe_8_sound_D;Ewe_13_texture_D;Ewe_14_texture_D;Ewe_26_motion_D;Ewe_34_shape_D;Ewe_41_color_D;Ewe_27_motion_D;Ewe_35_shape_D;Ewe_42_color_D;Korean_9_sound_D;Korean_18_texture_D;Korean_27_motion_D;Korean_36_shape_D;Korean_44_color_D;Korean_10_sound_D;Korean_19_texture_D;Korean_28_motion_D;Korean_37_shape_D;Korean_45_color_D;Korean_29_motion_D;Korean_46_color_D;Semai_22_sound_D;Semai_19_texture_D;Semai_7_motion_D;Semai_34_shape_D;Semai_4_color_D;Semai_30_sound_D;Semai_21_texture_D;Semai_9_motion_D;Semai_35_shape_D;Semai_27_sound_D;Japanese_10_sound_D;Japanese_19_texture_D;Japanese_22_motion_D;Japanese_36_shape_D;Japanese_43_color_D;Japanese_11_sound_D;Japanese_20_texture_D;Japanese_24_motion_D;Japanese_37_shape_D;Japanese_21_texture_D;Japanese_38_shape_D;Coll_berabera_D;Coll_mushimushi_D;Coll_hikuhiku_D;Coll_bukubuku_D;Coll_ujauja_D;Coll_kechikechi_D;Coll_kebakeba_D;Coll_hiyahiya_D;Coll_boroboro_D;Siwu_5_sound_D;Siwu_15_texture_D;Siwu_16_motion_D;Siwu_19_shape_D;Siwu_34_color_D;Siwu_17_motion_D;Siwu_26_shape_D;Siwu_27_shape_D
N022;man;29;Chinees, Japans;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;1;1,3;1,5;5;1,5;1,8;3,7;3,5;3,2;2,5;4,9;4;3,6;1;2,7;5;4;1;1;1;4,4;2,9;1,5;3,5;1,6;5;2,1;2,8;3,4;1;5;3,5;2,9;1,1;5;2,7;5;2,3;1,4;4,2;4,3;2,3;5;2,2;5;1;1,7;2,3;5;1,9;5;3,3;1;2,6;2,7;5;5;5
N023;man;56;-;2;4,2;3,5;2,9;3,5;1,9;3,1;1,3;3,1;3,3;1,6;2,1;4,2;3,8;3,5;1,9;1,7;3,2;1,6;1,7;2,8;2;2,5;2;3,9;1,4;3,4;1,3;1,5;3,7;1,5;1,8;1,9;3,6;2,9;1,7;1,8;2,3;4,3;1,9;3,9;2,2;3,1;4,6;2,9;3,3;2;3,1;3,7;3,3;3,9;2,4;3,7;4,1;1,6;1,8;3,8;1,7;2,9;1,7;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N024;man;40;-;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,4;1,3;1,9;5;1,8;4,2;4;3,4;3;4,2;2;4;4;4;2;4,1;2,3;3,8;4,3;1;1;5;3,3;2;3;1;2;4,1;1,5;3,6;3;1,2;4;3,6;2;4,1;3,3;3,2;2;3;4;2,7;2;3;3,2;4;2;3,3;2,2;4,2;2;4,1;1,7;4;2,7;3,9;5;4,2;3;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N025;man;30;-;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,8;4,6;3,7;3,9;1,7;3,9;1,9;3,3;3,9;2,4;2,4;4,2;2,9;2,1;3,7;2,8;4,2;1,7;4,7;3,3;2,4;4,1;4;2,2;2,7;2,6;3,4;1,4;3,7;1,9;1,4;4,5;2,9;1,6;3,3;3,2;3,9;2,2;2,5;2,3;3,2;2,6;3,8;2,8;4,7;3,2;2,9;3,6;3,3;2,5;3,3;3,3;4,3;2,4;3,6;2,7;2,7;3,7;4,1;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N026;vrouw;29;Nederlands, engels, Spaans;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,8;3,3;2,7;2,2;1,8;2,2;3,3;4;4;4,6;4,5;2,3;3,8;3,6;3,1;2,4;4,2;3,8;2,8;2,8;3,2;2,5;4,3;3,1;2,5;1,7;2,2;5;2,2;4,3;1,9;5;5;1,7;2,7;1,9;1,4;2,4;2,7;3,7;2,9;2,7;4,4;2,3;5;2,8;2,6;3,4;4,3;2,5;4,3;2,2;5;3,6;2,2;1,9;2,9;4,8;4,1;3,5
N027;man;65;-;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,3;3,4;3,1;2,8;1,2;3,8;1,6;1,3;2,4;1,4;3,5;2,1;2,4;2;1,4;2;2,3;2;3,1;2,1;2,2;1,6;2,2;1,6;3,7;1,9;1,4;1,8;3,8;2;1,2;1,6;1,4;2;3,1;1,7;3,4;3,6;1,4;2,2;2,4;3,3;3,7;2,4;3,5;1,4;2,1;2,4;3,2;2,2;1,7;2;4,1;2;3,4;2,3;1,6;3,4;3,7;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N028;man;61;-;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;2;2;4,1;1;1;1;2;1;3,1;2;3;1;2;2;3;3;1;2;5;3;1;1;1;1;3;1;1;1;1;4,1;3;1;1;1;4,1;4,1;4;5;4,1;1;4,1;1;1;1;4,1;1;2;3;3;1,9;5;1;1;3;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N029;vrouw;21;-;4;4,5;3,5;3;2;2;4,1;3;4,1;2,5;5;1,5;5;5;2;3;1;2;2,5;1;2,5;1;1,9;1;2,5;1;4;2,9;1;3;3;1;1;2;5;1;1;2;5;1;1;2;2;3,6;2;3;2;4,5;1;4,1;3,5;2,1;2,5;4;4,1;4;4;2;1;3,1;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N030;vrouw;29;-;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;4;5;1;5;1;4;4;4;4;5;3,5;2;1;2,5;3,5;5;5;2;2;5;4;1;5;2;1;5;5;3,5;1;1;5;2;1;4;5;5;4;4;5;3,5;1;4;2,5;5;3,5;4;1;3,5;5;4;1;5;3,5;5;5;2;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N031;vrouw;19;-;3,3;5;4,3;4,7;4;1,5;5;3,4;3,4;1,1;1,2;2,6;4,3;4,9;4,5;4,8;3,4;4,3;4,2;2;3,2;1;1,7;4;3,4;2,4;4,9;1,6;1;4,3;2,7;1,9;1,3;3,3;4,8;1,4;4,1;2,3;4,9;2,1;3,5;2,5;3,6;4,8;1;1,3;3,8;3,9;4,2;4;4,2;2,8;3,5;4,1;1,4;3,5;4,9;1;2,9;1,7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N032;vrouw;65;Engels frans duits;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3,1;3,3;3,6;3;4,1;2,6;4;4;2,9;2,6;2,9;4,8;2,7;4,2;3,8;4;4,5;4,1;3,7;3,1;3,7;4;2,1;3,9;2,1;1,7;3,7;2,8;2;2,7;3,7;3,9;3,8;3,2;3,8;4,1;2,1;2,6;4,2;3;2,8;1,3;3,6;2,9;3;2,5;4;2,9;2,7;4,6;2,5;4,4;3,8;4;2,6;4,6;3,2;4,1;5
N033;man;23;-;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,2;4,4;2,2;3,6;1,6;4;3,2;1,4;2,9;3,3;2,8;2,5;3,3;2,1;2,7;2,6;3,5;1,9;5;4,1;3,8;4,4;3,6;2,1;3,4;1,8;2,4;1;4;1,5;1;4,5;2,7;4,5;4,2;1,5;5;1,9;1,5;3,2;1;2,3;4,3;4;3,6;1,8;2,5;1,3;3,6;1,8;3,2;1;4,5;3,9;2,6;1,2;1,5;3,2;3,4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N034;vrouw;20;Japans, Koreaans;2;3;2,5;2;1;1,4;1;1,5;2;2;1;2,5;3;3;2,5;2;1;2;2;1;3,5;3;1,5;2;1,5;1;1;1;1,5;1;1;1;1;5;5;1,5;1,5;5;5;2;4;2,5;4;2;3;1;4,4;5;5;3,5;2,5;3;3,1;2;1,5;1,5;1;1;1;2;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N035;vrouw;26;-;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,4;2;4,2;4,1;2,1;4,1;3,2;3,9;3,5;4;2,4;4,2;3,6;2,6;2,6;2,4;3,3;4,3;3,6;3,2;2,6;4,7;2,3;3,5;2,7;2,2;1,9;3,8;4,1;3,4;2;2,3;3,8;4,5;2,4;3,7;3,4;4,2;4,1;2,5;4,1;4,1;2,7;3,8;3,6;3,4;3,6;2,2;3,8;3,8;3,9;3,7;3,9;2,4;3,3;4,8;4,4;2,3;3,6;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N036;vrouw;45;-;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,4;3,3;3,6;2,9;1;4,9;1;1,1;1;2,5;1;3,6;3,6;1,1;4,4;4,6;1,4;4,1;4,2;1,3;2,7;4,4;3,2;1;1,8;1,1;1,1;3,3;3,8;1,6;1,1;1,8;3,6;3,1;2,9;2,8;1;3,9;3,3;1;4,8;2,9;2,3;1,9;1,4;1,6;3,1;2,9;1,7;3,5;2,3;5;2,2;3,6;1;2,7;5;1,8;1,2;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N037;vrouw;28;-;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,9;3,8;1,7;3,8;2;3,8;2,2;2,3;3,5;2;2,4;2,4;2,4;4,4;2,5;1,6;4,2;2,4;3,3;1,4;3,5;1,4;3,8;1,5;2;1,6;2;4,3;3,5;3,4;1,6;4,4;4,5;2,4;2,4;1,6;3,5;2,3;2,1;4;1,4;1,7;4,1;3,7;4,4;2;1,6;2,2;2,6;3,5;2,1;2,6;4,6;1,9;4,1;2;1,3;3,6;4,1;3,7
N038;vrouw;57;Engels ,Frans , Duits;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;3,1;3,1;1;5;1;2;3;3,1;2;1;5;2,2;1;1,8;1;2;3,1;2;1;5;1;3;1;1;1;5;4;1,1;1;1;2;1,9;1,8;1,9;1,8;2;1;1;4,3;1,9;2;3,1;3,1;1,8;3,1;1;1,2;1;4,2;4,1;1;3,1;1;4,2;5;2,1;3,1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N039;man;64;Afrikaans ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,1;4,1;2;2;1,9;4;4;3,1;2;2;3,1;2,1;3,1;2,5;2;2,4;1,9;4,5;2;2;1,9;2;4,1;1;2;1;1;4,1;2;1;1,9;3,7;4,1;3,2;2,6;3,7;3,1;2;1,9;3,6;4,2;1,9;2;2;4,2;1;1,9;1,9;1,9;2;1,5;2,1;4,1;4,5;2;2;1;3,8;3,1;4,4
N040;vrouw;24;-;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;1,9;4,9;4,1;1,2;4,8;2;3,9;3,2;4,8;2,8;3,6;2,1;4,5;1;4,1;2;4,1;4,6;1,3;1,4;4,9;1;1,9;1;1;1,1;4,8;4,2;1,2;1;1,3;4;4,1;2;3,5;1,5;1,4;3,3;1,1;4,5;1,5;1;4,2;1,5;4,3;2;3,9;1;2;4;4,6;1;4,3;1,8;4,6;5;3,8;4,5;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N041;man;22;-;2,8;5;5;2,5;1,8;2,5;5;4,8;3,8;3,8;1;4;3,8;3,5;4,9;1,6;2;2;4,3;4,3;2,4;1,6;1,6;2,2;4,5;2,2;5;3,7;1,5;1,8;1;1,9;2,7;3,8;1,8;1;1,3;1;5;2;4;2,1;2,4;4,8;3,7;3,7;4;2,1;4,1;3,7;1,9;4;2,6;5;1,1;1,5;4,1;1,6;1,4;2;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N042;vrouw;22;-;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,3;4,2;4,1;3,6;2,6;5;4,1;4,5;4,1;5;4,4;2,8;5;5;3,8;4,1;3,1;5;4,6;3,3;3,5;4,4;5;2;1,4;3,6;1;5;1,8;2,2;4,1;5;5;1,5;2,5;3,7;3,1;2,1;2,2;5;1,4;1,8;5;1,6;3,9;2;5;2;1,4;3,1;3,6;3,3;5;4,1;5;1,1;4,3;4,6;3,8;4,1
N043;man;63;-;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,4;1,9;1,9;3,3;1,4;4,8;2,7;1,9;3,2;3,5;3,1;4,4;3,1;3,3;3,1;3,3;2,4;2,6;1;2,2;1,6;3,7;2,8;2,7;1;1,1;1,6;4,8;4,1;3,1;1,1;1,4;3,2;2,8;3,2;3,3;1,9;4;3,3;2,5;3,4;3,4;1,3;3,2;3,1;1,7;3,2;3,3;1,5;2,6;3,6;3,2;3,4;3,9;1,7;3,4;4,4;3,3;2,6;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N044;vrouw;55;-;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;4,1;3,2;3,7;1;3,9;1,9;1,2;3,9;1;2;3,4;1,4;4,1;1;1;4;1,5;4,1;2;1;1,4;2;1;3;1;1;1;4,3;1;1;1,3;1;1,3;2;1;3,4;1,5;1;3;1,9;1,4;5;3;4,2;1,5;1,8;1;1,6;2;1;1,4;4,5;1;3;2;2;3,3;3,2;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N045;man;55;Chinees;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N046;vrouw;47;-;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;2,7;1,7;1,5;2,6;4,5;3,3;3,2;4,1;4,5;1,7;3,9;3,4;3,9;4,2;3,4;3,3;3,4;1,7;2,7;4,7;2,2;4,7;1;2,5;1,2;1,3;5;1,1;1,2;1,4;4,7;4,3;4,2;4;2,5;1;1;3,6;4,6;1,7;1,6;4,5;3,4;5;2,3;1,5;1,4;3,8;2,7;1,6;1,7;5;3,9;2,2;1,3;3,2;3,5;3,9;2,8
N047;vrouw;65;-;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,6;4,2;4,5;4,9;3,2;4,9;3;3,8;5;2,7;2,7;4;4;3,2;3,1;4;5;4;5;3,9;4,2;3,4;3,1;4,7;3,9;4;3;1,8;5;2,7;3,1;4,8;3,1;4,3;4,4;3;5;2,9;2;4,9;2,1;4,4;5;4,1;4,4;3,5;4,8;2,9;5;4,2;4,1;4,2;4,1;2,8;4,4;3,2;4,6;4;3,9;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N048;man;49;-;4;2,7;4,3;1,4;2,2;2,4;5;1,9;1,4;3,6;3,4;1,3;2,2;4,3;1,7;1,8;2,4;2,1;1,9;3,5;2,2;2,1;3,7;4,1;4,4;2,4;3,6;1;2,3;3,9;2,2;3,7;1,7;2,6;2,7;1,9;1;4,2;3,7;2,1;1,8;3,5;2,2;4,4;1,5;2;1,5;1,2;3,5;4,2;3,8;2,9;2,4;4,6;1,7;1,9;3,4;3,3;1;1;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N049;man;23;-;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2,3;3,9;3,9;2,7;2;4,5;2,2;3,6;4,4;3,5;4,5;4;5;2,3;4,9;3,7;5;2,5;4;4,9;2;5;3,6;2;3,6;1;5;2,6;3,5;3;5;5;2,1;4,4;4;4,5;2,9;2;5;3,4;4,3;4,6;4,1;4;1;2;4,5;4,5;4,2;4,3;1;4,5;4,3;4,1;1,5;3,6;4,1;3,6;5
